2a05:dfc1:600::/40,,,,
2a05:dfc1:5300::/40,,,,
2a05:dfc1:5300::/43,,,,
2a05:dfc1:5320::/43,AT,,,
2a05:dfc1:5340::/43,FR,,,
2a05:dfc1:5360::/43,MX,,,
2a05:dfc1:5380::/43,JP,,,
2a05:dfc1:53a0::/43,ES,,,
2a05:dfc1:53c0::/43,LI,,,
2a05:dfc1:53e0::/43,SE,,,
2a06:a005:28e0::/44,,,,
2a06:a005:28e1::/48,DE,DE-BY,Nuremberg,
2a06:a005:28e2::/48,DE,DE-HE,Frankfurt,
2a06:a005:28e3::/48,CH,CH-ZH,Zurich,
2a06:a005:28e4::/48,CH,CH-ZH,Zurich,
2a06:a005:28e5::/48,IT,IT-MI,Milan,
2a06:a005:28e6::/48,DE,DE-NW,Dusseldorf,
2a06:a005:28e7::/48,NL,NL-NH,Amsterdam,
2a06:a005:28e8::/48,NO,NO-03,Oslo,
2a06:a005:28e9::/48,CA,CA-BC,Vancouver,
2a06:a005:28ea::/48,CA,CA-ON,Toronto,
2a06:a005:28eb::/48,US,US-CA,Fremont,
2a06:a005:2900::/44,,,,
2a06:a005:2ef0::/44,,,,
2a0a:6040:2700::/40,,,,
2a0a:6040:2700::/43,CH,,,
2a0a:6040:2710::/44,CH,CH-ZH,Zurich,
2a0a:6040:2720::/43,DE,,,
2a0a:6040:2730::/44,DE,DE-BY,Nuremberg,
2a0a:6040:2740::/43,NL,,,
2a0a:6040:2760::/43,NO,,,
2a0a:6040:2780::/43,US,,,
2a0a:6040:27a0::/43,CA,,,
2a0a:6040:27c0::/43,IT,,,
2a0a:6040:27e0::/43,,,,
2a0e:97c0:5b0::/44,,,,
